SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
16-00782634,Standard,PRUNING,Tree Pruning,URBAFORR,Urban Forrestry,2016-11-01T19:02:23Z,Closed,1,DDOT,NA,NA,NA,2017-01-06T16:43:08Z,2017-07-25T19:02:00Z,NA,NA,2016-11-01T19:02:23Z,2017-01-06T16:43:08Z,5135 34TH STREET N,38.95650994,-77.06613869,20008,220467,NA,NA,3,3F,3F05,Second,203,12,NA,NA,NA,PHONE
16-00777679,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-29T16:57:43Z,Closed,1,DOH,NA,2017-01-05T19:12:00Z,"Closed, issue resolved",2017-01-05T19:12:28Z,2016-11-18T22:00:00Z,On 10/7/16 A Cuff found no rat burrows or activity on property and public space; left service notice.,NA,2016-10-29T16:57:43Z,2017-01-05T19:12:28Z,5130 H STREET S,38.87867148,-76.92896433,20019,12750,NA,NA,7,7E,7E03,Sixth,604,33,NA,NA,NA,PHONE
16-00778596,Standard,S0011,Alley Cleaning,STRALLCL,SWMA- Solid Waste Management Admistration,2016-10-31T13:21:49Z,Closed,1,DPW,NA,2017-01-06T01:27:00Z,Alley Cleaned - Close SR,2017-01-06T01:27:14Z,2016-12-15T14:21:00Z,a team completed services request on alley cleaning on 01/04/2017 and closed out on 01/05/2017 by pamela nix,NA,2016-10-31T13:21:49Z,2017-01-06T01:27:14Z,5913 2ND PLACE N,38.96180755,-77.01469285,20011,244913,NA,NA,4,4B,4B06,Fourth,406,17,NA,NA,NA,INTERNAL TRANSFER
16-00782771,Standard,S05SL,Streetlight Repair Investigation,TRAOP001,Transportation Operations Administration,2016-11-01T19:37:07Z,Closed,1,DDOT,NA,NA,NA,2017-01-05T13:13:12Z,2016-11-10T20:37:00Z,NA,NA,2016-11-01T19:37:07Z,2017-01-05T13:13:12Z,996 I STREET N,38.90071472,-77.02578398,20001,312274,NA,NA,2,2C,2C01,First,101,NA,NA,NA,NA,311-API
16-00786038,Standard,S05SL,Streetlight Repair Investigation,TRAOP001,Transportation Operations Administration,2016-11-03T12:35:54Z,Closed,1,DDOT,NA,NA,NA,2017-01-05T13:43:08Z,2016-11-14T22:00:00Z,NA,NA,2016-11-03T12:35:54Z,2017-01-05T13:43:08Z,931 WESTMINSTER STREET N,38.9149907,-77.0253451,20001,226094,NA,NA,1,1B,1B02,Third,305,NA,NA,NA,NA,311-API
16-00779157,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-31T15:30:18Z,Closed,1,DOH,NA,2017-01-04T16:15:00Z,"Closed, issue resolved",2017-01-04T16:15:30Z,2016-11-21T16:30:00Z,"D Broomfield 
found no rat burrows or activity on property and public space; left service notice.",NA,2016-10-31T15:30:18Z,2017-01-04T16:15:29Z,1250 LINDEN PLACE N,38.89967673,-76.98869758,20002,69634,NA,NA,6,6A,6A02,First,104,25,NA,NA,NA,PHONE
16-00779689,Standard,S0311,Rodent Inspection and Treatment,DEPAHEAL,DOH- Department Of Health,2016-10-31T17:19:47Z,Closed,1,DOH,NA,2017-01-04T16:13:00Z,"Closed, issue resolved",2017-01-04T16:13:56Z,2016-11-21T18:19:00Z,D Broomfield found no rat burrows or activity on property and public space; left service notice.,NA,2016-10-31T17:19:47Z,2017-01-04T16:13:56Z,1218 G STREET S,38.88146063,-76.98961269,20003,71176,NA,NA,6,6B,6B07,First,107,26,NA,NA,NA,PHONE
16-00783188,Standard,S0361,Sidewalk Repair,STRBRIMA,Toa-Street & Bridge Maintenance,2016-11-01T21:49:49Z,In-Progress,1,DDOT,NA,NA,NA,NA,2017-12-04T22:00:00Z,NA,NA,2016-11-01T21:49:49Z,2017-01-04T21:28:16Z,19TH STREET SE AND P STREET SE,38.8720215167935,-76.9773533315053,NA,906449,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00787205,Standard,SIGNMISS,Roadway Signs,SIGNS,Toa-Trans Sys Mnt-Signs,2016-11-03T16:59:53Z,In-Progress,1,DDOT,NA,NA,NA,NA,2017-05-16T16:59:00Z,NA,NA,2016-11-03T16:59:53Z,2017-01-04T12:08:07Z,410 Oneida Street N,NA,NA,20011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00778281,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-10-31T12:07:30Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:10:04Z,2016-12-13T22:00:00Z,NA,NA,2016-10-31T12:07:30Z,2017-01-03T15:10:04Z,M STREET NW AND WISCONSIN AVENUE NW,38.9051769611088,-77.0628114739039,NA,905660,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00781002,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T12:49:13Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:56Z,2016-12-14T22:00:00Z,NA,NA,2016-11-01T12:49:13Z,2017-01-03T15:09:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00781405,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T14:15:59Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:50Z,2016-12-15T15:15:00Z,NA,NA,2016-11-01T14:15:59Z,2017-01-03T15:09:50Z,EXIT 3A FROM INTERSTATE 295 SOUTHBOUND TO SUITLAND PARKWAY S,38.8628518,-77.00028149,20020,309448,NA,NA,8,8C,8C01,Seventh,703,37,NA,NA,NA,PHONE
16-00782582,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T18:48:00Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:43Z,2016-12-15T19:48:00Z,NA,NA,2016-11-01T18:48:00Z,2017-01-03T15:09:43Z,7TH STREET SW AND G STREET SW,38.881279935401,-77.0219058877163,NA,903906,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00782617,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T18:57:03Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:36Z,2016-12-15T19:57:00Z,NA,NA,2016-11-01T18:57:03Z,2017-01-03T15:09:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00782961,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T20:19:50Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:27Z,2016-12-15T21:19:00Z,NA,NA,2016-11-01T20:19:50Z,2017-01-03T15:09:27Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00782970,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T20:21:15Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:19Z,2016-12-15T21:21:00Z,NA,NA,2016-11-01T20:21:15Z,2017-01-03T15:09:19Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00783011,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T20:30:01Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:09:12Z,2016-12-15T21:30:00Z,NA,NA,2016-11-01T20:30:01Z,2017-01-03T15:09:12Z,30TH STREET SE AND PENNSYLVANIA AVENUE SE,38.871086930088,-76.964771669923607,NA,906474,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00783164,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-01T21:34:23Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:06:58Z,2016-12-15T22:00:00Z,NA,NA,2016-11-01T21:34:23Z,2017-01-03T15:06:58Z,2ND STREET NE AND T STREET NE,38.9155678600941,-77.0035068344532,NA,904758,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00784870,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-02T17:29:48Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:06:52Z,2016-12-16T18:29:00Z,NA,NA,2016-11-02T17:29:48Z,2017-01-03T15:06:52Z,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00785171,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-02T18:38:04Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:06:38Z,2016-12-16T19:38:00Z,NA,NA,2016-11-02T18:38:04Z,2017-01-03T15:06:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00788397,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-04T01:32:38Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:05:45Z,2016-12-19T22:00:00Z,NA,NA,2016-11-04T01:32:38Z,2017-01-03T15:05:45Z,null,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00790124,Standard,HMDCP,How Is My Driving - Complaint,HOMYDRPR,HOMYDRPR- How Is My Driving Program,2016-11-04T18:38:19Z,Closed,1,ORM,NA,NA,NA,2017-01-03T15:05:38Z,2016-12-20T19:38:00Z,NA,NA,2016-11-04T18:38:19Z,2017-01-03T15:05:38Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357518,Standard,RPP,Residential Parking Permit Violation,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T22:19:32Z,Closed,1,DPW,NA,NA,NA,2016-01-09T23:03:36Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T22:19:32Z,2016-01-09T23:03:36Z,1404 CRITTENDEN STREET N,38.94699334,-77.03328503,20011,255571,NA,NA,4,4C,4C03,Fourth,404,18,NA,NA,NA,WEB
16-00357519,Standard,EMNPV,Emergency No-Parking Verification,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T22:20:19Z,Closed,1,DPW,NA,NA,NA,2016-01-09T23:53:40Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T22:20:19Z,2016-01-09T23:55:23Z,4301 15TH STREET N,38.94313244,-77.03433696,20011,259325,NA,NA,4,4C,4C03,Fourth,404,18,NA,NA,NA,PHONE
16-00357522,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T22:27:01Z,Closed,1,DPW,NA,NA,NA,2016-01-09T22:51:09Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T22:27:01Z,2016-01-09T22:51:09Z,915 3RD STREET N,38.901942150000004,-77.0018358,20002,82275,NA,NA,6,6C,6C05,First,104,25,NA,NA,NA,PHONE
16-00357523,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-01-09T22:34:08Z,Closed,1,DDOT,NA,NA,NA,2016-01-10T06:38:42Z,2016-01-15T22:00:00Z,NA,NA,2016-01-09T22:34:08Z,2016-01-10T06:38:42Z,1900 1916  BLOCK OF 14TH STREET S,38.8671796924947,-76.9851209513218,NA,807443,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00357525,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T22:50:26Z,Closed,1,DPW,NA,NA,NA,2016-01-10T03:59:52Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T22:50:26Z,2016-01-10T03:59:52Z,3980 LANGLEY COURT N,38.93610001,-77.07884145,20016,223356,NA,NA,3,3C,3C06,Second,204,14,NA,NA,NA,311-APP
16-00357529,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T23:03:39Z,Closed,1,DPW,NA,NA,NA,2016-01-10T00:09:55Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:03:39Z,2016-01-10T00:12:35Z,4026 1ST STREET S,38.83110964,-77.01145787,20032,27658,NA,NA,8,8D,8D07,Seventh,708,39,NA,NA,NA,PHONE
16-00357530,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T23:15:50Z,Closed,1,DPW,NA,NA,NA,2016-01-10T03:59:00Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:15:50Z,2016-01-10T03:59:00Z,2339 ASHMEAD PLACE N,38.91973271,-77.04730196,20009,238059,NA,NA,1,1C,1C02,Third,303,1,NA,NA,NA,PHONE
16-00357531,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-01-09T23:20:50Z,Closed,1,DDOT,NA,NA,NA,2016-01-10T06:38:16Z,2016-01-15T22:00:00Z,NA,NA,2016-01-09T23:20:50Z,2016-01-10T06:38:16Z,2100 - 2199 BLOCK OF PENNSYLVANIA AVENUE N,38.9016990258806,-77.0477444582852,NA,808395,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00357532,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-09T23:21:15Z,Closed,1,OUC,NA,NA,NA,2016-01-09T23:21:15Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:21:15Z,2016-01-09T23:21:15Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357533,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T23:25:19Z,Closed,1,DPW,NA,NA,NA,2016-01-10T05:08:37Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:25:19Z,2016-01-10T05:08:37Z,4400 MACARTHUR BOULEVARD N,38.90664549,-77.0818502,20007,224800,NA,NA,3,3D,3D09,Second,205,13,NA,NA,NA,PHONE
16-00357534,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-09T23:26:24Z,Closed,1,OUC,NA,NA,NA,2016-01-09T23:26:24Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:26:24Z,2016-01-09T23:26:29Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357535,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T23:27:40Z,Closed,1,DPW,NA,NA,NA,2016-01-10T00:48:22Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:27:40Z,2016-01-10T00:48:23Z,4907 4TH STREET N,38.95031005,-77.01725154,20011,243793,NA,NA,4,4D,4D05,Fourth,407,18,NA,NA,NA,PHONE
16-00357538,Standard,S0261,Parking Enforcement,PARKENFO,PEMA- Parking Enforcement Management Administration,2016-01-09T23:30:03Z,Closed,1,DPW,NA,NA,NA,2016-01-10T01:05:15Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:30:03Z,2016-01-10T01:05:15Z,1812 NORTH CAPITOL STREET N,38.91450735,-77.00937767,20002,227148,NA,NA,5,5E,5E07,Fifth,501,21,NA,NA,NA,PHONE
16-00357541,Standard,S0361,Sidewalk Repair,STRBRIMA,Toa-Street & Bridge Maintenance,2016-01-09T23:39:51Z,Closed,1,DDOT,NA,NA,NA,2016-05-16T12:38:22Z,2016-05-31T21:00:00Z,NA,NA,2016-01-09T23:39:51Z,2016-05-16T12:38:22Z,"M St SE & Half St SE,Washington,DC",38.8764833527054,-77.007459740041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WEB
16-00357543,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-09T23:42:51Z,Closed,1,OUC,NA,NA,NA,2016-01-09T23:42:51Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:42:51Z,2016-01-09T23:42:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357544,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-09T23:43:26Z,Closed,1,OUC,NA,NA,NA,2016-01-09T23:43:26Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:43:26Z,2016-01-09T23:43:26Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357546,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-01-09T23:46:25Z,In-Progress,1,DDOT,NA,NA,NA,NA,2016-01-15T22:00:00Z,NA,NA,2016-01-09T23:46:25Z,2016-01-09T23:48:14Z,1442 U STREET N,38.91673264,-77.03387536,20009,279190,NA,NA,2,2B,2B09,Third,301,3,NA,NA,NA,WEB
16-00357552,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-09T23:58:00Z,Closed,1,OUC,NA,NA,NA,2016-01-09T23:58:00Z,2016-01-11T22:00:00Z,NA,NA,2016-01-09T23:58:00Z,2016-01-09T23:58:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357554,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T00:29:11Z,Closed,1,OUC,NA,NA,NA,2016-01-10T00:29:11Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T00:29:11Z,2016-01-10T00:29:11Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357556,Standard,CFSAMISS,CFSA Missing/Absconded,CFSA,CFSA,2016-01-10T00:32:17Z,Closed,1,CFSA,NA,NA,NA,2016-01-10T00:34:27Z,2016-01-11T00:32:17Z,NA,NA,2016-01-10T00:32:17Z,2016-01-10T00:34:27Z,5310 C STREET S,38.88478462,-76.92529237,20019,10580,NA,NA,7,7E,7E06,Sixth,604,33,NA,NA,NA,WEB
16-00357558,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T00:40:32Z,Closed,1,OUC,NA,NA,NA,2016-01-10T00:40:33Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T00:40:32Z,2016-01-10T00:40:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357559,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T00:49:10Z,Closed,1,OUC,NA,NA,NA,2016-01-10T00:49:10Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T00:49:10Z,2016-01-10T00:49:10Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357560,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T00:52:08Z,Closed,1,OUC,NA,NA,NA,2016-01-10T00:52:09Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T00:52:08Z,2016-01-10T00:52:08Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357563,Standard,S0276,Parking Meter Repair,TRAOP001,Transportation Operations Administration,2016-01-10T01:13:26Z,Closed,1,DDOT,NA,NA,NA,2016-01-10T06:38:47Z,2016-01-15T22:00:00Z,NA,NA,2016-01-10T01:13:26Z,2016-01-10T06:38:47Z,500 - 599 BLOCK OF 5TH STREET N,38.8967322015176,-77.018928886782,NA,805251,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,311-API
16-00357564,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T01:13:36Z,Closed,1,OUC,NA,NA,NA,2016-01-10T01:13:36Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T01:13:36Z,2016-01-10T01:13:36Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357566,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T01:31:30Z,Closed,1,OUC,NA,NA,NA,2016-01-10T01:31:31Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T01:31:30Z,2016-01-10T01:31:30Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
16-00357567,Standard,DCGOVTINFO,DC Government Information,311CALCE,311- Call Center,2016-01-10T01:32:01Z,Closed,1,OUC,NA,NA,NA,2016-01-10T01:32:01Z,2016-01-11T22:00:00Z,NA,NA,2016-01-10T01:32:01Z,2016-01-10T01:32:01Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PHONE
